,year,gross,popularity,imdb_score,vote_average,genre
0,2009,2550965087,18.0,7.9,7.2,Action
1,2009,2550965087,18.0,7.5,7.2,Action
2,2009,2550965087,18.0,6.0,7.2,Action
3,2009,2550965087,18.0,6.6,7.2,Action
4,2009,2550965087,18.0,5.8,7.2,Action
5,2009,2550965087,18.0,6.8,7.2,Action
6,2009,2550965087,18.0,8.3,7.2,Action
7,2009,2550965087,18.0,6.5,7.2,Action
9,2009,2550965087,18.0,5.9,7.2,Action
10,2009,2550965087,18.0,6.7,7.2,Action
12,2009,2550965087,18.0,5.1,7.2,Action
13,2009,2550965087,18.0,8.0,7.2,Action
14,2009,2550965087,18.0,7.7,7.2,Action
15,2009,2550965087,18.0,7.1,7.2,Action
16,2009,2550965087,18.0,7.0,7.2,Action
17,2009,2550965087,18.0,6.4,7.2,Action
19,2009,2550965087,18.0,5.4,7.2,Action
23,2009,2550965087,18.0,7.6,7.2,Action
25,2009,2550965087,18.0,6.3,7.2,Action
27,2009,2550965087,18.0,7.8,7.2,Action
32,2009,2550965087,18.0,4.5,7.2,Action
33,2009,2550965087,18.0,7.2,7.2,Action
35,2009,2550965087,18.0,5.5,7.2,Action
36,2009,2550965087,18.0,7.3,7.2,Action
38,2009,2550965087,18.0,4.9,7.2,Action
39,2009,2550965087,18.0,7.4,7.2,Action
41,2009,2550965087,18.0,6.2,7.2,Action
42,2009,2550965087,18.0,6.1,7.2,Action
44,2009,2550965087,18.0,4.7,7.2,Action
45,2009,2550965087,18.0,5.6,7.2,Action
47,2009,2550965087,18.0,4.6,7.2,Action
49,2009,2550965087,18.0,5.7,7.2,Action
53,2009,2550965087,18.0,3.7,7.2,Action
63,2009,2550965087,18.0,5.2,7.2,Action
70,2009,2550965087,18.0,5.3,7.2,Action
79,2009,2550965087,18.0,4.2,7.2,Action
85,2009,2550965087,18.0,2.7,7.2,Action
93,2009,2550965087,18.0,3.5,7.2,Action
97,2009,2550965087,18.0,2.9,7.2,Action
102,2009,2550965087,18.0,6.9,7.2,Action
115,2009,2550965087,18.0,4.1,7.2,Action
119,2009,2550965087,18.0,5.0,7.2,Action
129,2009,2550965087,18.0,4.8,7.2,Action
132,2009,2550965087,18.0,8.1,7.2,Action
144,2009,2550965087,18.0,3.6,7.2,Action
167,2009,2550965087,18.0,3.8,7.2,Action
215,2009,2550965087,18.0,8.2,7.2,Action
239,2009,2550965087,18.0,2.8,7.2,Action
241,2009,2550965087,18.0,3.4,7.2,Action
245,2009,2550965087,18.0,3.1,7.2,Action
246,2009,2550965087,18.0,4.0,7.2,Action
251,2009,2550965087,18.0,3.2,7.2,Action
260,2009,2550965087,18.0,7.9,7.2,Adventure
261,2009,2550965087,18.0,7.5,7.2,Adventure
262,2009,2550965087,18.0,6.0,7.2,Adventure
263,2009,2550965087,18.0,6.6,7.2,Adventure
264,2009,2550965087,18.0,5.8,7.2,Adventure
265,2009,2550965087,18.0,6.8,7.2,Adventure
266,2009,2550965087,18.0,8.3,7.2,Adventure
267,2009,2550965087,18.0,6.5,7.2,Adventure
269,2009,2550965087,18.0,5.9,7.2,Adventure
270,2009,2550965087,18.0,6.7,7.2,Adventure
272,2009,2550965087,18.0,5.1,7.2,Adventure
273,2009,2550965087,18.0,8.0,7.2,Adventure
274,2009,2550965087,18.0,7.7,7.2,Adventure
275,2009,2550965087,18.0,7.1,7.2,Adventure
276,2009,2550965087,18.0,7.0,7.2,Adventure
277,2009,2550965087,18.0,6.4,7.2,Adventure
279,2009,2550965087,18.0,5.4,7.2,Adventure
283,2009,2550965087,18.0,7.6,7.2,Adventure
285,2009,2550965087,18.0,6.3,7.2,Adventure
287,2009,2550965087,18.0,7.8,7.2,Adventure
292,2009,2550965087,18.0,4.5,7.2,Adventure
293,2009,2550965087,18.0,7.2,7.2,Adventure
295,2009,2550965087,18.0,5.5,7.2,Adventure
296,2009,2550965087,18.0,7.3,7.2,Adventure
298,2009,2550965087,18.0,4.9,7.2,Adventure
299,2009,2550965087,18.0,7.4,7.2,Adventure
301,2009,2550965087,18.0,6.2,7.2,Adventure
302,2009,2550965087,18.0,6.1,7.2,Adventure
304,2009,2550965087,18.0,4.7,7.2,Adventure
305,2009,2550965087,18.0,5.6,7.2,Adventure
307,2009,2550965087,18.0,4.6,7.2,Adventure
309,2009,2550965087,18.0,5.7,7.2,Adventure
313,2009,2550965087,18.0,3.7,7.2,Adventure
